https://job-boards.greenhouse.io/postman/jobs/7389443003	Postman	Field CTO	Remote/US	websearch-greenhouse-cto-vp-technology	2026-04-20
https://boards.greenhouse.io/incubator/jobs/5427429	Quekto AI (AI2 Incubator)	Co-founder & Chief Technology Officer	Seattle	websearch-greenhouse-cto-vp-technology	2026-04-20
https://jobs.lever.co/jobgether/cd97294f-48d1-40bb-abae-f3d9dbd604e2	Jobgether	Chief Technology Officer (K-12 SaaS)	US Remote	websearch-lever-cto-vp-technology-head-of-engineering	2026-04-20
https://jobs.lever.co/liatrio/cb88b721-410c-4219-b8a3-43c9ef12a1bc	Liatrio	Principal Application Modernization Architect	Denver (onsite)	websearch-lever-cto-vp-technology-head-of-engineering	2026-04-20
https://jobs.lever.co/insiderone/49f7e3c9-2a0e-4f45-99bd-1af880b7615b	Insider One	AI Transformation Lead	Remote	websearch-lever-ai-leadership	2026-04-20
https://jobs.ashbyhq.com/develop-health/d37bf5d6-5e3b-4388-ab03-9603e3db1041	Develop Health	Head of AI	unknown	websearch-ashby-ai-leadership-exec	2026-04-20
https://jobs.ashbyhq.com/harvey/2d8786d9-b757-41e3-b23a-d45fec038a57	Harvey	Director of Platform Engineering	unknown	websearch-ashby-cto-vp-technology	2026-04-20
https://jobs.ashbyhq.com/workshop-ventures/f72fe4f7-a25b-42a9-a3a2-6773815631aa	Workshop Venture Partners (WorkHero)	Head of Engineering	unknown	websearch-ashby-cto-vp-technology	2026-04-20
https://job-boards.greenhouse.io/sureify/jobs/5190968008	Sureify	VP of Engineering	US (multi-region)	websearch-greenhouse-vp-engineering-director-engineering	2026-04-20
https://boards.greenhouse.io/embed/job_app?token=7601994003	Pleo	Director of Engineering	unknown	websearch-greenhouse-vp-engineering-director-engineering	2026-04-20
https://job-boards.greenhouse.io/digible/jobs/5766191004	Digible	Director of Data	unknown	websearch-greenhouse-chief-data-officer-vp-data	2026-04-20
https://boards.greenhouse.io/dbtlabsinc/jobs/4300257005	dbt Labs	Director, Data	unknown	websearch-greenhouse-chief-data-officer-vp-data	2026-04-20
https://boards.greenhouse.io/digitaloceancitesremotes/jobs/3934331	DigitalOcean	VP, Data & Analytics	Remote	websearch-greenhouse-chief-data-officer-vp-data	2026-04-20
https://jobs.lever.co/jobgether/df51c575-3d28-402b-845c-275da732de01	Jobgether	Director / VP of Engineering	US Remote	websearch-cross-portal-engineering-leadership	2026-04-20
https://jobs.ashbyhq.com/maximustribe/a9891e02-673e-458e-9cbc-6d6ba730c0ed	MaximusTribe	Sr Director, Data Engineering and Analytics	unknown	websearch-cross-portal-data-exec	2026-04-20
https://boards.greenhouse.io/checkr/jobs/5514546	Checkr	VP, Data	unknown	websearch-cross-portal-data-exec	2026-04-20
